san	siteid	size	segmentid	n	k	a	cost	max(d.date)	min(d.date)	days	ads
aigebi1amjul11	774791	120x600	87	10	0	0	0.00	2011-10-21	2011-10-20	1	1
aigebi1amjul11	770489	160x600	1236	834	0	0	0.00	2011-10-13	2011-07-18	87	9
aigebi1amjul11	781788	468x60	1183	1	0	0	0.00	2011-11-29	2011-11-29	0	1
aigebi1amjul11	786808	300x250	1183	3	0	0	0.00	2011-11-03	2011-11-03	0	2
aigebi1amjul11	125	120x600	1184	1	0	0	0.00	2011-10-31	2011-10-31	0	1
aigebi1amjul11	764223	160x600	87	6	0	0	0.00	2011-07-21	2011-07-14	7	5
aigebi1amjul11	790615	160x600	1183	465	0	0	0.00	2011-09-26	2011-08-09	48	9
aigebi1amjul11	754289	728x90	69	2	0	0	0.00	2011-09-23	2011-09-23	0	1
aigebi1amjul11	788983	728x90	1183	1014	2	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	792681	120x600	87	5	0	0	0.00	2011-10-21	2011-10-20	1	1
aigebi1amjul11	796585	120x600	1183	43	0	0	0.00	2011-09-25	2011-07-31	56	1
aigebi1amjul11	803032	300x250	1183	4	0	0	0.00	2011-08-02	2011-07-30	3	1
aigebi1amjul11	800687	160x600	87	2302	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	806450	728x90	87	17	0	0	0.00	2011-07-19	2011-07-18	1	8
aigebi1amjul11	809630	300x250	1183	741	0	0	0.00	2011-08-17	2011-07-21	27	9
aigebi1amjul11	807971	300x250	87	1	0	0	0.00	2011-08-05	2011-08-05	0	1
aigebi1amjul11	814419	300x250	1183	619	1	0	0.00	2011-10-03	2011-10-02	1	9
aigebi1amjul11	811382	300x250	1183	117	0	0	0.00	2011-11-12	2011-10-10	33	5
aigebi1amjul11	818014	300x250	87	57	0	0	0.00	2011-11-15	2011-11-15	0	3
aigebi1amjul11	775001	728x90	1183	173	0	0	0.00	2011-08-27	2011-08-19	8	8
aigebi1amjul11	770786	300x250	1183	7	0	0	0.00	2011-09-24	2011-08-19	36	5
aigebi1amjul11	782090	160x600	87	23	0	0	0.00	2011-09-23	2011-08-16	38	9
aigebi1amjul11	737081	728x90	1183	55	0	0	0.00	2011-09-17	2011-08-05	43	9
aigebi1amjul11	778696	468x60	87	131	0	0	0.00	2011-08-02	2011-07-27	6	1
aigebi1amjul11	786968	160x600	87	696	0	0	0.00	2011-08-25	2011-07-14	42	9
aigebi1amjul11	208953	468x60	1184	41	0	0	0.00	2011-08-16	2011-08-16	0	1
aigebi1amjul11	764885	728x90	87	1150	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	784722	160x600	1183	1406	1	0	0.00	2011-09-27	2011-07-14	75	9
