siteid	size	segmentid	n	k	a	cost	max(date)	min(date)	days
782283	300x250	1183	8	0	0	0.02	2011-12-13	2011-12-12	1
753543	160x600	81	8	0	0	0.01	2011-12-12	2011-12-12	0
694300	728x90	82	10	0	0	0.01	2011-12-13	2011-12-13	0
794337	160x600	1183	11	0	0	0.01	2011-03-10	2011-03-10	0
798308	728x90	1183	11	0	0	0.01	2011-03-30	2011-03-30	0
784547	728x90	1183	11	0	0	0.01	2011-03-31	2011-03-31	0
804253	728x90	1183	12	0	0	0.01	2011-12-13	2011-12-13	0
797854	728x90	1183	13	0	0	0.01	2011-03-15	2011-03-10	5
799678	160x600	1183	14	0	0	0.01	2011-03-31	2011-03-31	0
785167	160x600	1183	14	0	0	0.01	2011-03-19	2011-03-18	1
770290	160x600	1183	15	0	0	0.01	2011-03-01	2011-03-01	0
730422	300x250	82	15	0	0	0.01	2011-03-01	2011-03-01	0
743349	728x90	85	15	0	0	0.01	2011-03-31	2011-03-20	11
799960	300x250	1183	16	0	0	0.01	2011-03-16	2011-03-16	0
759199	300x250	1183	16	0	0	0.01	2011-03-05	2011-03-03	2
761110	728x90	84	16	0	0	0.01	2012-01-03	2011-03-24	285
730422	300x250	85	17	0	0	0.01	2011-03-10	2011-03-08	2
795862	728x90	1183	17	0	0	0.01	2011-06-22	2011-03-01	113
800421	160x600	1183	18	0	0	0.01	2011-04-01	2011-03-31	1
743236	300x250	85	19	0	0	0.01	2011-04-12	2011-03-12	31
743234	728x90	83	20	0	0	0.01	2011-06-20	2011-03-09	103
807337	300x250	1183	20	1	0	0.02	2012-01-04	2011-12-12	23
790526	300x250	1183	20	0	0	0.01	2011-03-28	2011-03-28	0
807339	728x90	1183	20	0	0	0.03	2012-01-04	2011-12-12	23
781550	300x250	1183	20	0	0	0.01	2011-03-29	2011-03-29	0
743211	728x90	79	21	0	0	0.01	2011-03-14	2011-03-08	6
743234	728x90	81	21	0	0	0.02	2011-03-16	2011-03-09	7
799206	728x90	1183	21	0	0	0.01	2011-03-30	2011-03-01	29
800341	728x90	1183	21	0	0	0.01	2011-03-31	2011-03-25	6
761878	728x90	1183	22	0	0	0.01	2011-03-08	2011-03-07	1
741921	300x250	1	22	0	0	0.03	2012-02-04	2011-12-12	54
789774	728x90	1183	22	1	0	0.01	2012-02-03	2011-11-23	72
800287	728x90	1183	22	0	0	0.01	2011-03-31	2011-03-16	15
715471	300x250	1183	24	0	0	0.01	2011-03-30	2011-03-30	0
799011	728x90	1183	25	0	0	0.01	2011-03-30	2011-03-10	20
785165	728x90	1183	25	0	0	0.01	2011-03-18	2011-03-18	0
808003	300x250	1183	25	0	0	0.01	2011-12-13	2011-08-03	132
801050	300x250	1183	25	0	0	0.01	2011-03-27	2011-03-27	0
786338	300x250	1183	25	0	0	0.04	2012-02-03	2011-10-11	115
720834	728x90	247	26	0	0	0.01	2012-01-10	2011-06-19	205
751445	300x250	1	26	0	0	0.01	2011-03-23	2011-03-01	22
799367	728x90	1183	26	0	0	0.01	2011-03-20	2011-03-09	11
798538	300x250	1183	26	0	0	0.01	2011-03-31	2011-03-12	19
797792	300x250	1183	26	0	0	0.01	2011-03-06	2011-03-01	5
773722	160x600	1183	27	0	0	0.01	2011-03-14	2011-03-14	0
760015	160x600	1	27	0	0	0.01	2011-03-25	2011-03-16	9
798991	120x600	1183	27	0	0	0.01	2011-03-31	2011-03-31	0
788041	728x90	1183	27	0	0	0.01	2011-04-06	2011-03-10	27
751024	300x250	1	27	0	0	0.01	2011-03-31	2011-03-30	1
796881	728x90	1183	28	0	0	0.01	2011-07-18	2011-03-03	137
804024	728x90	1183	28	0	0	0.04	2011-12-13	2011-12-12	1
771347	728x90	87	29	0	0	0.01	2011-03-16	2011-03-04	12
788034	728x90	1183	29	0	0	0.01	2011-03-30	2011-03-01	29
791349	160x600	81	29	0	0	0.01	2011-11-08	2011-03-01	252
784169	728x90	79	29	0	0	0.01	2011-04-01	2011-03-19	13
744431	728x90	1183	29	0	0	0.03	2011-03-15	2011-03-13	2
