"DATE_HOUR","SITE_ID","MEDIA_ID","SEGMENT_ID","BID","IMPRESSIONS","CLICKS","ACTIONS","CONVERSIONS","SPEND"
"06/06/2011 09","795237","942356","85",".01","541","0","0","0",".00541"
"06/06/2011 09","795237","942363","85",".01","553","0","0","0",".00553"
"06/06/2011 09","795237","965167","85",".01","565","0","0","0",".00565"
"06/06/2011 09","795237","971391","83",".04","543","0","0","0",".02172"
"06/06/2011 09","795237","971391","85",".01","584","0","0","0",".00584"
"06/06/2011 09","795237","982277","78",".02","330","0","0","0",".0066"
"06/06/2011 09","795237","982277","79",".02","56","0","0","0",".00112"
"06/06/2011 09","795237","982277","84",".02","11","0","0","0",".00022"
"06/06/2011 09","795237","982277","85",".01","552","0","0","0",".00552"
"06/06/2011 09","795237","1007646","85",".01","1","0","0","0",".00001"
"06/06/2011 09","795237","1007653","85",".01","1","0","0","0",".00001"
"06/06/2011 09","795239","942314","1183",".01","14","0","0","0",".00014"
"06/06/2011 09","795239","942354","1183",".01","22","0","0","0",".00022"
"06/06/2011 09","795239","942361","1183",".01","20","0","0","0",".0002"
"06/06/2011 09","795239","971390","1183",".01","13","0","0","0",".00013"
"06/06/2011 09","795239","982273","1183",".01","18","0","0","0",".00018"
"06/06/2011 09","795453","942353","1183",".16","72","0","0","0",".01152"
"06/06/2011 09","795458","942356","1183",".92","505","0","0","0",".4646"
"06/06/2011 09","795668","942358","1183",".01","3","0","0","0",".00003"
"06/06/2011 09","796985","942353","1183",".02","362","0","0","0",".00724"
"06/06/2011 09","796986","942354","1183",".01","5","0","0","0",".00005"
"06/06/2011 09","796986","942361","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","796986","971390","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","796986","982273","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","798790","942356","1183",".06","187","0","0","0",".01122"
"06/06/2011 09","799147","942356","1183",".02","28","0","0","0",".00056"
"06/06/2011 09","799149","942353","1183",".08","31","0","0","0",".00248"
"06/06/2011 09","802106","942356","69",".01","1","0","0","0",".00001"
"06/06/2011 09","802106","971391","69",".01","1","0","0","0",".00001"
"06/06/2011 09","802106","982277","69",".01","1","0","0","0",".00001"
"06/06/2011 09","804045","982270","1183",".06","57","0","0","0",".00342"
"06/06/2011 09","792442","942314","78",".01","26","0","0","0",".00026"
"06/06/2011 09","792442","942314","79",".01","22","0","0","0",".00022"
"06/06/2011 09","792442","942314","83",".01","1","0","0","0",".00001"
"06/06/2011 09","792442","942314","84",".01","9","0","0","0",".00009"
"06/06/2011 09","792442","942314","85",".01","892","0","0","0",".00892"
"06/06/2011 09","792442","942354","78",".01","23","0","0","0",".00023"
"06/06/2011 09","792442","942354","79",".01","8","0","0","0",".00008"
"06/06/2011 09","792442","942354","84",".01","13","0","0","0",".00013"
"06/06/2011 09","792442","942354","85",".01","838","0","0","0",".00838"
