san	siteid	size	segmentid	n	k	a	cost	max(d.date)	min(d.date)	days	ads
auglbckammay11	707494	728x90	81	42	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	784403	728x90	1183	7	0	0	0.00	2011-08-09	2011-07-14	26	1
auglbckammay11	791234	300x250	87	9	0	0	0.00	2011-07-25	2011-07-21	4	1
auglbckammay11	809470	728x90	1183	20	0	0	0.00	2011-10-20	2011-10-20	0	1
auglbckammay11	763095	300x250	81	4	0	0	0.00	2011-07-23	2011-07-21	2	1
auglbckammay11	802532	160x600	1183	6	0	0	0.00	2011-08-09	2011-08-09	0	1
auglbckammay11	784872	300x250	1183	2	0	0	0.00	2011-08-11	2011-07-31	11	1
auglbckammay11	776607	300x250	1183	1	0	0	0.00	2011-07-20	2011-07-20	0	1
auglbckammay11	791969	160x600	1183	19	0	0	0.00	2011-08-04	2011-07-14	21	1
auglbckammay11	816787	728x90	1183	1	0	0	0.00	2011-10-29	2011-10-29	0	1
auglbckammay11	763775	160x600	65	6	0	0	0.00	2011-07-29	2011-07-14	15	1
auglbckammay11	803373	728x90	1183	2	0	0	0.00	2011-08-11	2011-08-09	2	1
auglbckammay11	785448	300x250	1183	7	0	0	0.00	2011-07-29	2011-07-19	10	1
auglbckammay11	777236	728x90	1183	7	0	0	0.00	2011-07-25	2011-07-14	11	1
auglbckammay11	797673	160x600	87	3	0	0	0.00	2011-07-22	2011-07-14	8	1
auglbckammay11	792405	300x250	1183	22	0	0	0.00	2011-08-02	2011-07-13	20	1
auglbckammay11	764375	728x90	1183	8	0	0	0.00	2011-08-11	2011-07-18	24	1
auglbckammay11	803873	160x600	87	17	0	0	0.00	2011-07-31	2011-07-20	11	1
auglbckammay11	724097	300x250	1	1	0	0	0.00	2011-07-22	2011-07-22	0	1
auglbckammay11	785740	728x90	1183	3	0	0	0.00	2011-07-31	2011-07-29	2	1
auglbckammay11	777616	160x600	1183	3	0	0	0.00	2011-08-04	2011-07-19	16	1
auglbckammay11	797935	300x250	1183	3	0	0	0.00	2011-07-18	2011-07-13	5	1
auglbckammay11	792701	728x90	1183	2	0	0	0.00	2011-07-21	2011-07-20	1	1
auglbckammay11	730710	300x250	65	22	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	786107	300x250	87	2	0	0	0.00	2011-08-10	2011-07-16	25	1
auglbckammay11	778220	300x250	87	35	0	0	0.00	2011-08-10	2011-07-14	27	1
auglbckammay11	798164	300x250	87	5	0	0	0.00	2011-07-31	2011-07-28	3	1
auglbckammay11	793104	300x250	1183	1	0	0	0.00	2011-07-13	2011-07-13	0	1
auglbckammay11	767019	160x600	87	3	0	0	0.00	2011-07-29	2011-07-29	0	1
auglbckammay11	735204	160x600	78	9	0	0	0.00	2011-07-22	2011-07-15	7	1
auglbckammay11	778656	728x90	82	165	1	0	0.00	2011-08-12	2011-07-13	30	1
auglbckammay11	804669	160x600	87	7	0	0	0.00	2011-07-31	2011-07-14	17	1
auglbckammay11	738915	160x600	1	1	0	0	0.00	2011-07-14	2011-07-14	0	1
auglbckammay11	787279	728x90	87	9	0	0	0.00	2011-07-28	2011-07-14	14	1
auglbckammay11	779017	728x90	67	16	0	0	0.00	2011-08-11	2011-07-19	23	1
auglbckammay11	799048	728x90	1183	1	0	0	0.00	2011-07-13	2011-07-13	0	1
auglbckammay11	793818	300x250	87	5	0	0	0.00	2011-08-11	2011-07-21	21	1
auglbckammay11	769739	300x250	1183	3	0	0	0.00	2011-07-15	2011-07-13	2	1
auglbckammay11	804981	728x90	1183	11	0	0	0.00	2011-08-09	2011-08-08	1	1
auglbckammay11	787909	300x250	1183	1	0	0	0.00	2011-07-22	2011-07-22	0	1
auglbckammay11	779906	300x250	1183	9	0	0	0.00	2011-08-12	2011-08-08	4	1
auglbckammay11	799304	160x600	1183	2	0	0	0.00	2011-07-28	2011-07-19	9	1
auglbckammay11	794037	728x90	82	12	0	0	0.00	2011-08-11	2011-07-20	22	1
auglbckammay11	805291	728x90	87	4	0	0	0.00	2011-07-21	2011-07-15	6	1
auglbckammay11	744686	300x250	1183	6	0	0	0.00	2011-07-18	2011-07-15	3	1
auglbckammay11	788608	300x250	87	21	0	0	0.00	2011-07-28	2011-07-15	13	1
auglbckammay11	799752	728x90	1183	188	0	0	0.00	2011-08-04	2011-07-13	22	1
auglbckammay11	794425	160x600	87	16	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	770481	728x90	87	1	0	0	0.00	2011-07-15	2011-07-15	0	1
auglbckammay11	781005	728x90	1183	1	0	0	0.00	2011-07-24	2011-07-24	0	1
auglbckammay11	794888	728x90	87	2	0	0	0.00	2011-07-22	2011-07-15	7	1
auglbckammay11	781512	728x90	1183	22	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	795132	728x90	87	29	0	0	0.00	2011-08-02	2011-07-13	20	1
auglbckammay11	772592	728x90	1183	2	0	0	0.00	2011-07-20	2011-07-20	0	1
auglbckammay11	806274	728x90	1183	1	0	0	0.00	2011-08-08	2011-08-08	0	1
auglbckammay11	800366	300x250	1183	12	0	0	0.00	2011-07-31	2011-07-27	4	1
auglbckammay11	782141	160x600	87	12	0	0	0.00	2011-07-19	2011-07-14	5	1
auglbckammay11	789709	728x90	1183	1	0	0	0.00	2011-08-11	2011-08-11	0	1
auglbckammay11	806945	728x90	87	1	0	0	0.00	2011-07-20	2011-07-20	0	1
auglbckammay11	755724	728x90	1	33	0	0	0.00	2011-07-30	2011-07-14	16	1
auglbckammay11	795676	728x90	1183	4	0	0	0.00	2011-07-23	2011-07-16	7	1
auglbckammay11	790037	300x250	1183	20	0	0	0.00	2011-07-18	2011-07-13	5	1
auglbckammay11	807375	300x250	1183	7	0	0	0.00	2011-08-08	2011-07-14	25	1
auglbckammay11	757063	300x250	87	1	0	0	0.00	2011-07-29	2011-07-29	0	1
auglbckammay11	125	425x600	376	431	0	0	0.00	2011-11-30	2011-06-08	175	1
auglbckammay11	783244	468x60	1183	11	0	0	0.00	2011-08-11	2011-07-15	27	1
auglbckammay11	774472	728x90	1183	1	0	0	0.00	2011-07-22	2011-07-22	0	1
auglbckammay11	796035	300x250	1183	8	0	0	0.00	2011-07-29	2011-07-14	15	1
auglbckammay11	790585	728x90	1183	17	0	0	0.00	2011-08-11	2011-07-20	22	1
auglbckammay11	801813	160x600	87	66	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	692114	300x250	1	17	0	0	0.00	2011-07-23	2011-07-15	8	1
auglbckammay11	783660	728x90	1183	48	0	0	0.00	2011-08-12	2011-07-18	25	1
auglbckammay11	775443	160x600	1183	24	0	0	0.00	2011-08-09	2011-07-14	26	1
auglbckammay11	790709	300x250	87	1	0	0	0.00	2011-07-30	2011-07-30	0	1
auglbckammay11	761766	300x250	1236	2	0	0	0.00	2011-08-11	2011-07-21	21	1
auglbckammay11	796646	728x90	1183	9	0	0	0.00	2011-08-06	2011-07-14	23	1
auglbckammay11	790902	300x250	1183	2	0	0	0.00	2011-08-02	2011-08-02	0	1
auglbckammay11	808349	728x90	87	1	0	0	0.00	2011-08-12	2011-08-12	0	1
auglbckammay11	762608	300x250	1183	13	0	0	0.00	2011-07-18	2011-07-16	2	1
auglbckammay11	802396	728x90	87	12	0	0	0.00	2011-08-10	2011-08-08	2	1
auglbckammay11	711333	160x600	1	7	0	0	0.00	2011-08-06	2011-07-14	23	1
auglbckammay11	784591	160x600	1183	9	0	0	0.00	2011-08-11	2011-08-10	1	1
auglbckammay11	776443	728x90	1183	26	0	0	0.00	2011-08-10	2011-07-17	24	1
auglbckammay11	791793	300x250	1235	8	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	814305	728x90	69	11	0	0	0.00	2011-11-19	2011-11-19	0	1
auglbckammay11	803180	160x600	87	2	0	0	0.00	2011-07-30	2011-07-30	0	1
auglbckammay11	785048	728x90	1183	3	0	0	0.00	2011-07-24	2011-07-16	8	1
auglbckammay11	776906	728x90	1183	7	0	0	0.00	2011-07-30	2011-07-15	15	1
auglbckammay11	792153	300x250	1183	8	0	0	0.00	2011-08-11	2011-07-29	13	1
auglbckammay11	818287	728x90	1183	1	0	0	0.00	2011-11-23	2011-11-23	0	1
auglbckammay11	803755	300x250	87	2	0	0	0.00	2011-07-18	2011-07-18	0	1
auglbckammay11	721569	300x250	81	27	0	0	0.00	2011-08-10	2011-07-14	27	1
auglbckammay11	777348	728x90	1183	20	0	0	0.00	2011-08-04	2011-07-22	13	1
auglbckammay11	797809	160x600	1183	3	0	0	0.00	2011-08-10	2011-07-27	14	1
auglbckammay11	792440	728x90	81	9	0	0	0.00	2011-08-04	2011-07-14	21	1
auglbckammay11	803983	300x250	1183	6	0	0	0.00	2011-08-05	2011-07-13	23	1
auglbckammay11	728404	728x90	1	3	0	0	0.00	2011-07-22	2011-07-14	8	1
auglbckammay11	785924	300x250	79	6	0	0	0.00	2011-08-06	2011-08-02	4	1
auglbckammay11	777842	300x250	1183	42	0	0	0.00	2011-08-04	2011-07-13	22	1
auglbckammay11	798011	160x600	87	12	0	0	0.00	2011-08-10	2011-07-30	11	1
auglbckammay11	792835	728x90	376	93	0	0	0.00	2011-08-08	2011-07-14	25	1
auglbckammay11	798471	300x250	1183	17	0	0	0.00	2011-08-08	2011-07-14	25	1
auglbckammay11	767785	300x250	87	2	0	0	0.00	2011-07-25	2011-07-25	0	1
auglbckammay11	804571	160x600	1183	1	0	0	0.00	2011-07-13	2011-07-13	0	1
auglbckammay11	786925	160x600	1183	2	0	0	0.00	2011-07-16	2011-07-14	2	1
auglbckammay11	798844	728x90	87	8	0	0	0.00	2011-08-05	2011-07-25	11	1
auglbckammay11	768905	300x250	1183	3	0	0	0.00	2011-08-01	2011-07-15	17	1
auglbckammay11	787558	160x600	1236	8	0	0	0.00	2011-07-27	2011-07-21	6	1
auglbckammay11	793900	728x90	1183	6	0	0	0.00	2011-08-02	2011-07-15	18	1
auglbckammay11	770127	728x90	1183	23	0	0	0.00	2011-08-11	2011-07-20	22	1
auglbckammay11	805141	160x600	87	1	0	0	0.00	2011-07-19	2011-07-19	0	1
auglbckammay11	743812	468x60	1183	22	0	0	0.00	2011-10-21	2011-10-20	1	1
auglbckammay11	780336	728x90	1183	6	0	0	0.00	2011-07-19	2011-07-13	6	1
auglbckammay11	788695	728x90	84	296	0	0	0.00	2011-11-25	2011-07-13	135	1
auglbckammay11	780631	160x600	1236	2	0	0	0.00	2011-08-11	2011-07-20	22	1
auglbckammay11	794741	728x90	87	3	0	0	0.00	2011-07-16	2011-07-14	2	1
auglbckammay11	789061	728x90	85	19	0	0	0.00	2011-08-02	2011-08-02	0	1
auglbckammay11	771986	728x90	1183	18	0	0	0.00	2011-07-22	2011-07-14	8	1
auglbckammay11	806178	728x90	1183	4	0	0	0.00	2011-07-27	2011-07-27	0	1
auglbckammay11	753270	728x90	1183	10	0	0	0.00	2011-08-06	2011-07-14	23	1
auglbckammay11	781874	300x250	87	9	0	0	0.00	2011-07-29	2011-07-20	9	1
auglbckammay11	773309	300x250	1183	2	0	0	0.00	2011-07-22	2011-07-15	7	1
auglbckammay11	789587	160x600	1183	6	0	0	0.00	2011-07-16	2011-07-14	2	1
auglbckammay11	800550	728x90	1183	19	0	0	0.00	2011-07-28	2011-07-15	13	1
auglbckammay11	795468	160x600	1183	6	0	0	0.00	2011-07-28	2011-07-28	0	1
auglbckammay11	789955	728x90	1183	1	0	0	0.00	2011-07-15	2011-07-15	0	1
auglbckammay11	806996	728x90	1183	10	0	0	0.00	2011-08-09	2011-07-14	26	1
auglbckammay11	756792	300x250	67	41	0	0	0.00	2011-08-10	2011-07-16	25	1
auglbckammay11	782898	728x90	1183	43	0	0	0.00	2011-08-02	2011-07-14	19	1
auglbckammay11	790276	728x90	1183	33	0	0	0.00	2011-08-11	2011-07-13	29	1
auglbckammay11	807608	160x600	1183	13	0	0	0.00	2011-10-15	2011-07-13	94	1
auglbckammay11	801577	160x600	1183	10	0	0	0.00	2011-08-02	2011-07-20	13	1
auglbckammay11	220333	300x250	1183	20	0	0	0.00	2011-08-08	2011-07-18	21	1
auglbckammay11	774910	728x90	1183	1	0	0	0.00	2011-07-21	2011-07-21	0	1
auglbckammay11	790652	728x90	1183	1	0	0	0.00	2011-07-25	2011-07-25	0	1
auglbckammay11	808004	728x90	1183	1	0	0	0.00	2011-07-14	2011-07-14	0	1
auglbckammay11	760936	728x90	1183	13	0	0	0.00	2011-08-11	2011-07-14	28	1
auglbckammay11	802009	160x600	65	21	0	0	0.00	2011-08-04	2011-07-13	22	1
auglbckammay11	784076	160x600	1183	7	0	0	0.00	2011-07-30	2011-07-14	16	1
auglbckammay11	775627	728x90	1183	3	0	0	0.00	2011-08-08	2011-07-14	25	1
auglbckammay11	761770	160x600	1236	2	0	0	0.00	2011-08-11	2011-08-11	0	1
auglbckammay11	707676	728x90	1	38	0	0	0.00	2011-08-06	2011-07-25	12	1
auglbckammay11	784407	300x250	1183	3	0	0	0.00	2011-07-23	2011-07-22	1	1
auglbckammay11	775856	160x600	1183	21	0	0	0.00	2011-08-04	2011-07-14	21	1
auglbckammay11	809609	728x90	1183	4	0	0	0.00	2011-10-21	2011-10-20	1	1
auglbckammay11	763095	300x250	83	9	0	0	0.00	2011-08-10	2011-07-14	27	1
auglbckammay11	802544	728x90	1183	25	0	0	0.00	2011-08-09	2011-07-14	26	1
auglbckammay11	791971	728x90	1183	19	0	0	0.00	2011-08-04	2011-07-14	21	1
