siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
749598	300x250	1	2434	4	0	1.01	2011-10-15	2011-03-14	215
784070	728x90	1183	1182	0	0	1.01	2011-12-07	2011-07-13	147
795447	160x600	87	4788	0	0	1.01	2011-12-08	2011-03-02	281
776810	728x90	68	2566	1	0	1.01	2011-07-10	2011-03-18	114
798797	728x90	1183	3160	0	0	1.01	2011-12-11	2011-03-05	281
759556	300x250	1183	1802	3	0	1.01	2011-06-01	2011-03-01	92
755393	300x250	1183	872	1	0	1.02	2011-12-09	2011-07-13	149
785603	728x90	1183	5263	0	0	1.02	2011-10-21	2011-03-01	234
772795	300x250	1183	1283	2	0	1.03	2011-11-19	2011-04-02	231
794825	728x90	1183	4097	0	0	1.03	2011-06-22	2011-06-07	15
743243	160x600	1	545	0	0	1.03	2011-04-08	2011-03-03	36
783901	728x90	87	2931	0	0	1.03	2011-10-20	2011-04-22	181
754527	160x600	1147	9571	5	0	1.03	2011-09-27	2011-03-09	202
789192	300x250	87	1959	0	0	1.04	2011-12-11	2011-03-15	271
800279	300x250	66	2174	2	0	1.04	2011-09-16	2011-07-13	65
789062	160x600	79	2542	1	0	1.04	2011-08-30	2011-03-09	174
777046	300x250	1183	3605	0	0	1.04	2011-12-11	2011-03-02	284
789835	300x250	1183	997	0	0	1.04	2011-08-31	2011-07-13	49
795388	728x90	1183	38929	11	0	1.05	2011-09-27	2011-03-01	210
793684	300x250	1183	2603	0	0	1.05	2011-12-11	2011-03-09	277
799304	160x600	1183	1213	0	0	1.05	2011-12-06	2011-07-13	146
796360	728x90	87	2487	1	0	1.05	2011-12-11	2011-03-01	285
769582	728x90	1235	6340	1	0	1.05	2011-10-21	2011-05-06	168
760149	728x90	1183	9321	0	0	1.05	2011-06-08	2011-03-01	99
785003	728x90	87	5166	3	0	1.05	2011-04-09	2011-03-01	39
787080	160x600	1183	2699	3	0	1.05	2011-12-11	2011-03-01	285
778373	728x90	1236	1572	0	0	1.05	2011-09-25	2011-03-09	200
800015	728x90	1183	4138	1	0	1.06	2011-12-11	2011-03-09	277
789060	300x250	79	1994	0	0	1.06	2011-08-26	2011-03-09	170
793955	728x90	1183	10446	5	0	1.06	2011-12-11	2011-03-01	285
791272	300x250	1183	6131	4	0	1.07	2011-09-27	2011-07-13	76
778920	300x250	67	12550	1	0	1.07	2011-12-07	2011-04-13	238
767176	300x250	81	1310	2	0	1.07	2011-05-04	2011-03-16	49
789836	728x90	1183	574	1	0	1.07	2011-10-05	2011-07-13	84
788505	300x250	1183	4616	2	0	1.07	2011-06-07	2011-03-01	98
779734	300x250	1183	2799	1	0	1.07	2011-12-06	2011-03-01	280
776514	160x600	1183	3035	0	0	1.07	2011-07-05	2011-03-01	126
720834	728x90	242	1002	5	0	1.07	2011-12-11	2011-07-13	151
799656	160x600	1183	1900	2	0	1.07	2011-03-29	2011-03-08	21
721127	160x600	85	751	4	0	1.07	2011-04-22	2011-03-09	44
733205	728x90	1183	13343	1	0	1.08	2011-08-24	2011-03-02	175
790619	300x250	87	1522	0	0	1.08	2011-12-11	2011-07-13	151
803312	160x600	1183	2853	8	0	1.08	2011-12-11	2011-07-13	151
