siteid size segmentid n k a cost maxdate mindate days
790586 300x250 1183 157210182 2438 10 3702.12 2011-11-28 2011-03-01 272
743164 234x60 69 150082670 11923 26 3185.13 2011-11-28 2011-03-01 272
770253 160x600 85 133174752 11118 15 6466.78 2011-09-25 2011-03-01 208
792442 300x250 85 119751890 1121 3 2255.07 2011-11-28 2011-03-01 272
792023 160x600 1183 94821087 338336 2773 113687.83 2011-11-28 2011-03-01 272
795232 160x600 1183 65485403 38409 315 15608.87 2011-09-27 2011-03-01 210
721127 728x90 84 62949029 17197 27 25448.66 2011-06-07 2011-03-01 98
788695 728x90 85 60161914 46432 5 1942.38 2011-11-28 2011-03-30 243
796987 728x90 1183 55863911 2394 12 2793.20 2011-09-27 2011-03-01 210
795234 728x90 1183 52079879 4608 20 8967.58 2011-09-27 2011-03-01 210
796985 160x600 1183 41609019 5796 12 2039.40 2011-09-27 2011-03-01 210
794037 728x90 85 40169520 1892 0 1268.56 2011-11-28 2011-03-01 272
770259 728x90 85 35990305 1082 8 726.94 2011-09-01 2011-03-01 184
788694 300x250 85 35773347 10678 7 1164.74 2011-11-28 2011-03-30 243
712270 160x600 1 34528981 251 0 1702.86 2011-11-24 2011-03-01 268
767435 728x90 1183 34227167 49073 179 20798.18 2011-10-06 2011-03-01 219
802107 728x90 1183 31979178 833 0 319.92 2011-11-28 2011-09-28 61
790727 160x600 1183 31880528 7389 19 1731.72 2011-10-25 2011-03-01 238
770255 300x250 85 28896309 674 5 4912.63 2011-09-01 2011-03-01 184
743164 234x60 66 28804829 6771 28 3802.98 2011-11-28 2011-03-01 272
743164 234x60 68 27533915 4416 8 1153.61 2011-11-28 2011-03-01 272
798474 300x250 1183 27218557 588 4 1488.01 2011-11-10 2011-03-01 254
790587 728x90 1183 25455876 3072 2 1416.72 2011-11-28 2011-03-01 272
786783 728x90 1183 25202748 11966 109 13635.28 2011-11-28 2011-03-01 272
792442 300x250 78 23681376 429 1 6892.54 2011-11-28 2011-03-01 272
787698 728x90 1183 23013410 1699 11 1563.60 2011-05-16 2011-03-01 76
791296 300x250 1183 22909829 3117 67 14536.52 2011-11-28 2011-03-09 264
795235 160x600 85 22179096 1646 5 1087.86 2011-09-01 2011-03-01 184
784477 300x250 1183 19686129 6678 57 8796.96 2011-11-28 2011-03-01 272
785546 728x90 81 19552748 1873 13 4457.81 2011-09-27 2011-03-24 187
754300 300x250 1 19351564 2379 21 7733.25 2011-11-28 2011-03-01 272
731242 300x250 1 19242773 1088 26 8793.92 2011-11-28 2011-03-01 272
721127 728x90 85 19215143 6380 25 5096.93 2011-06-15 2011-03-01 106
782102 300x250 1183 18582839 823 6 1835.19 2011-11-28 2011-03-01 272
735341 728x90 1 18284671 1032 21 8463.83 2011-11-28 2011-03-01 272
743812 728x90 85 18114089 8322 34 7819.76 2011-07-01 2011-03-01 122
788694 300x250 1183 17311625 9610 9 871.15 2011-03-30 2011-03-01 29
794323 300x250 1183 17195224 2794 54 16285.05 2011-11-28 2011-04-22 220
751771 728x90 1183 17175582 163 2 695.90 2011-11-28 2011-03-01 272
790726 300x250 1183 17066845 10379 64 3313.42 2011-11-28 2011-03-01 272
775816 300x250 1183 17060676 6643 220 19563.44 2011-11-28 2011-03-03 270
708688 180x150 85 16736267 31 0 472.87 2011-07-20 2011-03-01 141
